Back to Contents,Data 1: Weekly Working Gas in Underground Storage,,,,,,
Sourcekey,NW_EPG0_SAO_R48_BCF,NW_EPG0_SAO_R88_BCF,NW_EPG0_SAO_R89_BCF,NW_EPG0_SAO_R87_BCF,NW_EPG0_SSO_R87_BCF,NW_EPG0_SNO_R87_BCF,
Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
"Apr 21, 2000",1144,544,219,381,,,
"Apr 28, 2000",1182,569,225,388,,,
"May 05, 2000",1242,606,230,406,,,
"May 12, 2000",1283,647,234,403,,,
"May 19, 2000",1333,689,238,406,,,
"May 26, 2000",1382,727,242,414,,,
"Jun 02, 2000",1455,778,251,426,,,
"Jun 09, 2000",1532,830,255,447,,,
"Jun 16, 2000",1591,874,259,458,,,
"Jun 23, 2000",1657,921,266,469,,,
"Jun 30, 2000",1717,965,273,480,,,
"Jul 07, 2000",1812,1029,280,503,,,
"Jul 14, 2000",1875,1080,288,507,,,
"Jul 21, 2000",1921,1126,293,502,,,
"Jul 28, 2000",1978,1173,293,513,,,
"Aug 04, 2000",2036,1221,292,523,,,
"Aug 11, 2000",2080,1260,293,528,,,
"Aug 18, 2000",2127,1311,293,523,,,
"Aug 25, 2000",2171,1355,289,527,,,
"Sep 01, 2000",2205,1393,289,523,,,
"Sep 08, 2000",2274,1442,294,538,,,
"Sep 15, 2000",2338,1488,297,553,,,
"Sep 22, 2000",2412,1543,299,569,,,
"Sep 29, 2000",2486,1591,303,592,,,
"Oct 06, 2000",2547,1636,305,605,,,
"Oct 13, 2000",2574,1653,308,613,,,
"Oct 20, 2000",2644,1698,310,637,,,
"Oct 27, 2000",2713,1743,314,656,,,
"Nov 03, 2000",2748,1758,312,678,,,
"Nov 10, 2000",2744,1762,303,679,,,
"Nov 17, 2000",2654,1721,277,656,,,
"Nov 24, 2000",2506,1626,266,614,,,
"Dec 01, 2000",2434,1569,262,603,,,
"Dec 08, 2000",2287,1469,256,562,,,
"Dec 15, 2000",2140,1378,247,515,,,
"Dec 22, 2000",1973,1273,236,464,,,
"Dec 29, 2000",1765,1131,233,401,,,
"Jan 05, 2001",1611,1035,224,352,,,
"Jan 12, 2001",1525,975,212,338,,,
"Jan 19, 2001",1452,922,192,339,,,
"Jan 26, 2001",1333,825,175,333,,,
"Feb 02, 2001",1238,762,158,318,,,
"Feb 09, 2001",1151,707,143,301,,,
"Feb 16, 2001",1075,660,130,285,,,
"Feb 23, 2001",966,576,126,264,,,
"Mar 02, 2001",894,523,116,254,,,
"Mar 09, 2001",817,459,114,244,,,
"Mar 16, 2001",799,432,118,249,,,
"Mar 23, 2001",796,427,123,246,,,
"Mar 30, 2001",738,375,130,233,,,
"Apr 06, 2001",741,364,135,242,,,
"Apr 13, 2001",810,411,135,265,,,
"Apr 20, 2001",844,422,141,280,,,
"Apr 27, 2001",947,479,150,319,,,
"May 04, 2001",1054,540,160,354,,,
"May 11, 2001",1157,603,171,382,,,
"May 18, 2001",1267,666,183,418,,,
"May 25, 2001",1354,727,194,433,,,
"Jun 01, 2001",1457,790,209,458,,,
"Jun 08, 2001",1560,853,222,486,,,
"Jun 15, 2001",1664,911,235,517,,,
"Jun 22, 2001",1768,974,248,547,,,
"Jun 29, 2001",1867,1028,259,580,,,
"Jul 06, 2001",1974,1098,266,610,,,
"Jul 13, 2001",2075,1158,286,632,,,
"Jul 20, 2001",2152,1215,293,644,,,
"Jul 27, 2001",2220,1258,300,662,,,
"Aug 03, 2001",2295,1311,307,677,,,
"Aug 10, 2001",2341,1345,319,677,,,
"Aug 17, 2001",2426,1402,324,700,,,
"Aug 24, 2001",2500,1456,332,712,,,
"Aug 31, 2001",2576,1504,338,734,,,
"Sep 07, 2001",2673,1564,348,760,,,
"Sep 14, 2001",2764,1616,358,790,,,
"Sep 21, 2001",2857,1674,366,817,,,
"Sep 28, 2001",2925,1720,373,832,,,
"Oct 05, 2001",2998,1771,374,852,,,
"Oct 12, 2001",3068,1815,384,869,,,
"Oct 19, 2001",3100,1838,389,874,,,
"Oct 26, 2001",3132,1870,389,872,,,
"Nov 02, 2001",3152,1882,395,875,,,
"Nov 09, 2001",3187,1900,401,886,,,
"Nov 16, 2001",3220,1911,408,901,,,
"Nov 23, 2001",3250,1917,416,917,,,
"Nov 30, 2001",3254,1928,405,921,,,
"Dec 07, 2001",3238,1917,390,930,,,
"Dec 14, 2001",3195,1877,385,933,,,
"Dec 21, 2001",3115,1820,374,921,,,
"Dec 28, 2001",2989,1730,363,895,,,
"Jan 04, 2002",2790,1600,354,835,,,
"Jan 11, 2002",2648,1513,344,791,,,
"Jan 18, 2002",2522,1434,321,767,,,
"Jan 25, 2002",2410,1364,301,745,,,
"Feb 01, 2002",2332,1324,269,738,,,
"Feb 08, 2002",2160,1213,257,690,,,
"Feb 15, 2002",2036,1120,250,666,,,
"Feb 22, 2002",1962,1057,250,656,,,
"Mar 01, 2002",1819,971,242,606,,,
"Mar 08, 2002",1728,913,231,584,,,
"Mar 15, 2002",1636,854,220,562,,,
"Mar 22, 2002",1561,798,211,552,,,
"Mar 29, 2002",1500,739,215,546,,,
"Apr 05, 2002",1491,722,218,551,,,
"Apr 12, 2002",1506,721,225,560,,,
"Apr 19, 2002",1575,759,232,584,,,
"Apr 26, 2002",1606,771,239,596,,,
"May 03, 2002",1645,789,249,607,,,
"May 10, 2002",1707,825,254,628,,,
"May 17, 2002",1775,860,260,655,,,
"May 24, 2002",1847,896,268,683,,,
"May 31, 2002",1954,960,284,710,,,
"Jun 07, 2002",2042,1024,293,725,,,
"Jun 14, 2002",2123,1079,302,742,,,
"Jun 21, 2002",2218,1143,313,762,,,
"Jun 28, 2002",2286,1191,320,775,,,
"Jul 05, 2002",2353,1243,329,781,,,
"Jul 12, 2002",2422,1296,338,788,,,
"Jul 19, 2002",2486,1345,342,799,,,
"Jul 26, 2002",2534,1381,352,801,,,
"Aug 02, 2002",2567,1414,360,793,,,
"Aug 09, 2002",2620,1459,367,794,,,
"Aug 16, 2002",2657,1494,368,795,,,
"Aug 23, 2002",2716,1537,376,803,,,
"Aug 30, 2002",2781,1590,381,810,,,
"Sep 06, 2002",2855,1642,390,823,,,
"Sep 13, 2002",2924,1687,394,843,,,
"Sep 20, 2002",2990,1732,399,859,,,
"Sep 27, 2002",3038,1771,400,867,,,
"Oct 04, 2002",3080,1810,406,864,,,
"Oct 11, 2002",3128,1839,412,877,,,
"Oct 18, 2002",3161,1859,415,887,,,
"Oct 25, 2002",3172,1867,416,889,,,
"Nov 01, 2002",3145,1854,411,880,,,
"Nov 08, 2002",3097,1835,410,852,,,
"Nov 15, 2002",3096,1840,413,843,,,
"Nov 22, 2002",3047,1809,415,823,,,
"Nov 29, 2002",2956,1751,411,794,,,
"Dec 06, 2002",2794,1640,403,751,,,
"Dec 13, 2002",2635,1537,388,710,,,
"Dec 20, 2002",2540,1468,379,693,,,
"Dec 27, 2002",2417,1400,353,664,,,
"Jan 03, 2003",2331,1333,342,656,,,
"Jan 10, 2003",2195,1248,329,618,,,
"Jan 17, 2003",1976,1111,314,551,,,
"Jan 24, 2003",1729,946,296,487,,,
"Jan 31, 2003",1521,805,285,431,,,
"Feb 07, 2003",1371,716,268,387,,,
"Feb 14, 2003",1168,594,241,333,,,
"Feb 21, 2003",1014,499,224,291,,,
"Feb 28, 2003",838,403,198,237,,,
"Mar 07, 2003",736,343,179,214,,,
"Mar 14, 2003",654,280,172,202,,,
"Mar 21, 2003",660,289,167,204,,,
"Mar 28, 2003",696,317,167,212,,,
"Apr 04, 2003",688,311,167,210,,,
"Apr 11, 2003",642,277,167,198,,,
"Apr 18, 2003",702,313,174,215,,,
"Apr 25, 2003",754,344,180,230,,,
"May 02, 2003",836,392,192,252,,,
"May 09, 2003",900,438,198,264,,,
"May 16, 2003",990,496,206,288,,,
"May 23, 2003",1085,559,216,310,,,
"May 30, 2003",1199,629,226,344,,,
"Jun 06, 2003",1324,697,241,386,,,
"Jun 13, 2003",1438,769,254,415,,,
"Jun 20, 2003",1565,847,265,453,,,
"Jun 27, 2003",1662,907,274,481,,,
"Jul 04, 2003",1809,979,280,550,,,
"Jul 11, 2003",1904,1042,292,570,,,
"Jul 18, 2003",1981,1102,295,584,,,
"Jul 25, 2003",2062,1163,298,601,,,
"Aug 01, 2003",2138,1222,303,613,,,
"Aug 08, 2003",2222,1280,313,629,,,
"Aug 15, 2003",2299,1335,317,647,,,
"Aug 22, 2003",2352,1373,322,657,,,
"Aug 29, 2003",2419,1424,328,667,,,
"Sep 05, 2003",2518,1486,337,695,,,
"Sep 12, 2003",2619,1550,346,723,,,
"Sep 19, 2003",2719,1610,356,753,,,
"Sep 26, 2003",2820,1674,363,783,,,
"Oct 03, 2003",2904,1718,371,815,,,
"Oct 10, 2003",2981,1767,378,836,,,
"Oct 17, 2003",3066,1817,390,859,,,
"Oct 24, 2003",3121,1847,396,878,,,
"Oct 31, 2003",3155,1871,399,885,,,
